" Select Shipping Method","Elegir método de envío"
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","El servicio Amazon Simple Pay ha confirmado que ha tomado el pago. Tras las confirmación, se creó la factura %s automáticamente."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","El servicio de Amazon Simple Pay ha confirmado la captura del pago. Se creó, automáticamente, la factura."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","El servicio Amazon Simple Pay ha confirmado el reembolso del pago. Tras la confirmación, se creó una nota de crédito %s de manera automática."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","El servicio de Amazon Simple Pay ha confirmado el reembolso del pago. Se creó una nota de crédito automáticamente."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","El servicio de Amazon Simple Pay ha confirmado el reembolso del pago. Se creó, automáticamente, la nota de crédito."
"Amazon Simple Pay service has confirmed refund.","El servicio Amazon Simple Pay ha confirmado el reembolso."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","El servicio Amazon Simple Pay ha confirmado el reembolso. Se procesó, automáticamente, la nota de crédito."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","El servicio de Amazon Simple Pay ha confirmado el rembolso de la nota de crédito %s. Se procesó, automáticamente, la nota de crédito."
"Amazon Simple Pay service is not available. Payment was not processed.","El servicio de Amazon Simple Pay no se encuentra disponible. No se procesó el pago."
"Amazon Simple Pay service payment confirmation has failed.","Confirmación del servicio Amazon Simple Pay fallida."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Error en la confirmación del reembolso por parte del servicio Amazon Simple Pay: la cantidad en la nota de crédito existente no se corresponde con la cantidad de la solicitud de confirmación."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Error en la confirmación de reembolso del servicio de Amazon Simple Pay: la cantidad en la solicitud de confirmación no se corresponde con la cantidad del pedido."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Error en la confirmación de reembolso por parte del servicio de Amazon Simple Pay: el ID de la transacción de la nota de crédito existente no se corresponde con el ID de la transacción de la solicitud de confirmación."
"Authorize Only","Sólo autorizar"
"Authorize and Capture","Autorizar y capturar"
"Cancel Description","Cancelar descripción"
"Cancel Order Notification received from Checkout by Amazon service.","Notificación de cancelación de pedido recibida por parte del servicio de Tramitar pedido de Amazon."
"Checkout by Amazon","Trámite del pedido por Amazon"
"Continue Shopping","Continuar comprando"
"Customer was redirected to Amazon Simple Pay site","Se redireccionó al cliente al sitio de Amazon Simple Pay"
"Debug","Depurar"
"Debug Log","Registro de eliminación de fallos"
"Email Sender","Remitente del email"
"Enable","Habilitar"
"Error Log","Registro de errores"
"FPS Sandbox Service URI","Servicio URI de FPS Sandbox"
"FPS Service URI","Servicio URI de FPS"
"Immediate Return","Devolución inmediata"
"Invalid action code.","Código de acción no válido."
"Invalid request.","Solicitud no válida."
"Invoice was created with Checkout by Amazon.","Se creó la factura con el servicio de Tramitar pedido de Amazon."
"Merchant ID","Identificación de Comerciante"
"Merchant Login","Inicio de sesión del comerciante"
"Merchant Name","Nombre del comerciante"
"Merchant Password","Contraseña del comerciante"
"Merchant Token","Clave del comerciante"
"Method Choice Checkout Message","Mensaje del método elegido de trámite de pedido"
"New Order Notification received from Checkout by Amazon service.","Nueva notificación de pedido recibida por parte del servicio Tramitar pedido de Amazon."
"New Order Status","Estado de los nuevos pedidos"
"Notification Error Transactional Email","Correo de notificación de error en la transacción"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Pedido listo para enviar, notificación recibida por parte del servicio de Tramitar pedido de Amazon."
"Order was canceled with Checkout by Amazon.","Se canceló el pedido con el servicio de Tramitar pedido de Amazon."
"Payment Action","Acción de Pago"
"Payment Description","Descripción del pago"
"Payment Sandbox Service URI","Servicio URI de pago Sandbox"
"Payment Service URI","Servicio de pago URI"
"Payment authorization canceled with Amazon Simple Pay service.","Autorización de pago cancelada con el servicio Amazon Simple Pay."
"Pending Amazon Simple Pay","Pendiente Amazon Simple Pay"
"Redirect Message","Redireccionar mensaje"
"Refund Description","Descripción de reembolso"
"Refund was created with Checkout by Amazon.","Se ha creado el reembolso con el servicio de Tramitar pedido de Amazon."
"Report Email","Informar por correo"
"Report Error to Email","Informar del error por correo electrónico"
"Response body is not a valid FPS response.","La respuesta no es una respuesta FPS válida."
"SUCCESS","ÉXITO"
"Sandbox","Recinto"
"Secret Key","Clave secreta"
"Secret Key ID","ID de llave secreta"
"Shipment was created with Checkout by Amazon.","Se creó un envío mediante el servicio de Tramitar pedido de Amazon."
"Thank you for your purchase!","Gracias por su compra."
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","El cliente ha cancelado el pago y ha vuelto, con éxito, al sitio de Amazon Simple Pay"
"The customer has successfully returned from Amazon Simple Pay site","El cliente ha vuelto, con éxito, del sitio de Amazon Simple Pay"
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","Se creó la factura (captura en línea). Esperando confirmación de la captura desde el servicio de Amazon Simple Pay."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","No se ha reembolsado la factura. Error de servicio de Amazon Simple Pay: [%s] %s"
"The item specified in callback request XML was not found in quote.","No se encontró, en el presupuesto, el artículo especificado en la solicitud callback XML."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","No se canceló el pedido. Error del servicio Amazon Simple Pay: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","No se pudo capturar el pedido en línea. Se necesita una confirmación de autorización."
"The order was not captured. Amazon Simple Pay service error: [%s] %s","No se ha tomado el pedido. Error de servicio de Amazon Simple Pay: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","Se ha tomado el pago en línea mediante el servicio de Amazon Simple Pay. Se ha creado la factura. Esperando confirmación de captura del servicio de pago."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","Se reembolsó el pago en línea mediante el servicio de Amazon Simple Pay. Se creó la nota de crédito. Esperando confirmación de reembolso del servicio de Amazon Simple Pay."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","Se reembolsó el pago en línea. Esperando que el servicio Amazon Simple Pay confirme el reembolso."
"The request is not a valid IPN request.","La solicitud no es una solicitud IPN válida."
"The request was signed incorrectly or the signature is missing.","La solicitud se firmó de forma incorrecta o falta la firma."
"Title","Título"
"Use Callback API","Usar la API Callback"
"You will be redirected to Checkout by Amazon in a few seconds.","Amazon le redireccionará a Tramitar pedido en unos segundos."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un mensaje de correo electrónico con los detalles de su pedido y un enlace para hacer un seguimiento de su progreso."
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>","Recibirá un correo con la confirmación del pedido con los datos de su pedido y un enlace para realizar el seguimiento del progreso.<br/>"
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Su dirección de facturación se ignorará y será redirigido a la página de tramitar pedido de Amazon."
"Your order has been received.","Se recibió su pedido."
